index,ocupacion,clasificacion-oit
26284,contadora y administrador,24
26285,tecnico en parvilos,36
26286,capataz minero,93
26287,eduacdora pedagocica,23
26288,operador en bodega operac,81
26289,operador de tubing,81
26290,chofer y ayudannte,83
26291,reclutamiento y seleccion,24
26292,asistente de gestion doce,33
26293,prof instructor fisico,23
26294,maestro pavimentador,71
26295,administrador fiscalia,24
26296,ing en administracion,24
26297,administrativo de finanza,33
26298,atendedora de punto copec,42
26299,tutora de menores de edad,36
26300,piquiadora en bodega,93
26301,ayudante tno,36
26302,operador ordeña,61
26303,tecnica audio visual,31
26304,tirador de mesa,81
26305,asistente de recepcion,42
26306,mecanico automovil,72
26307,asistente aula parvulo,36
26308,laboratorista hormigon,31
26309,directora de escuela,23
26310,ing senior,21
26311,ingeniero en contruccion,21
26312,orientadora de sala,36
26313,encargada de departamento,12
26314,coord mantenimiento,13
26315,tecnico de climatizacion,31
26316,operador de liquidos,81
26317,tecnica,31
26318,matron coordinador,22
26319,auxiliar dag,91
26320,counter manager,12
26321,mantencion equip industri,31
26322,condcutro,83
26323,obrero jornal,92
26324,jefa de fabrica,13
26325,auxilair servicios menore,41
26326,habilitacion de locales,71
26327,evacuador,54
26328,docente de arte,23
26329,asistente de recuenton,41
26330,validador nocturno,54
26331,encargada compras,24
26332,ayudante instalador venta,82
26333,ejecutor de ventas,52
26334,servicio de seguridad,54
26335,trabajador en altura,71
26336,vicerector academico,11
26337,parillero,94
26338,profesera,23
26339,asesora cliente futuro,42
26340,aspirante maestro de coci,23
26341,tens lab,25
26342,tecnico educ parvulo,36
26343,recuperadora de productos,96
26344,campintero,73
26345,asistente de sociedad,42
26346,coordinadora programas,24
26347,auxiliar de mantencion y,44
26348,supervisora facilitadora,41
26349,auxiliar de serviicios,44
26350,especialista en mantencio,31
26351,fierradura,72
26352,capataz de montaje electr,71
26353,operador de planta de alm,81
26354,operaria de bandejas,93
26355,coordinador enlace,41
26356,utilero primer equipo,31
26357,mantencion elec,31
26358,cajero de hotel dreams,42
26359,profesional urbanizacion,21
26360,soldador matricero,72
26361,maestro electrico capache,31
26362,electrico de maquinas,72
26363,auxiliar de diatetica,32
26364,matrona y supervisora,22
26365,ing de procesos,21
26366,ejecutiva diler,11
26367,secretaria administracion,41
26368,tecnico en ed de parvulo,36
26369,operador maquina junior,81
26370,administrativo en cobranz,33
26371,descargador de trigo,92
26372,maestro gasfiter urbaniza,72
26373,tecnico printer,31
26374,mantencion de infraestruc,31
26375,tec montaje en terreno,31
26376,op de packing,82
26377,coordinador actividades,23
26378,atendedor y apoyo en boga,51
26379,iinspectora de carnes,32
26380,soldador multifuncional,72
26381,control de productos,41
26382,ejecutivo comercial zona,12
26383,agente de servicios y pas,42
26384,maticero,75
26385,tecnico para medico,32
26386,conserje part time,91
26387,supervisor plataforma,33
26388,descanadora de cuero,73
26389,ayudante uno,91
26390,manipulador de carga,93
26391,maestro termo panelero,72
26392,mecanico preventivo,72
26393,inspectora educac,23
26394,jefa area ejecucion,11
26395,atencion de rosticeria,52
26396,maestro uno mecanico,31
26397,sicologa equidad de gener,23
26398,operario de aviacion,72
26399,ejecutiva pec,11
26400,operador de circuito cerr,81
26401,jefe de unidad tecnica pe,11
26402,tecnico paramerdico,32
26403,auxiliar de farmacia inte,32
26404,assitente social y jefa,34
26405,adminsitrador de obra,13
26406,coordinadora de compra,33
26407,supervisor manejo animale,61
26408,hrbt,no hay una clasificación específica para "hrbt". ¿podrías proporcionar más información o verificar la ocupación para realizar la clasificación correctamente?
26409,tec metalurgista,31
26410,recepcionista  at client,42
26411,conductor carro de bomber,83
26412,maestro en fabricacion,73
26413,contadora auditora,24
26414,encargada de biblioteca e,36
26415,analista prevencion,24
26416,administrativo junior,41
26417,ensacado,95
26418,psicologa direccion,11
26419,ten enfermeria,32
26420,operador de manga corrale,63
26421,operaria seleccionadora,71
26422,profesiona desarrollo soc,26
26423,analista adquicisiones,24
26424,operadora punto,35
26425,jefa inspeccion,11
26426,asesora comunicaciones,24
26427,recepcionista y jefe,42
26428,vendnedora,52
26429,operador pluma,81
26430,analista de fraude,24
26431,tec quimico,31
26432,jefe de sustentabilidad,12
26433,corrdinador de area,12
26434,ranner,41
26435,tecnicon en mantencion,31
26436,controlador de frecuencia,81
26437,administrativo actuario,24
26438,operador maquina rectific,81
26439,subdirectora de proyecto,12
26440,promotora externa,41
26441,jefe comercio exterior,12
26442,lavado tecnico,31
26443,asistente tesorera,43
26444,administrador de casino,12
26445,abogada soporte,26
26446,vendedora loreal,52
26447,operador agricla,61
26448,toma de muestra enfermera,32
26449,opeador de grua horquilla,81
26450,vendedor bombero,52
26451,asis tec pedagogico,36
26452,tecnico en prevencion yre,32
26453,multiskill 1,24
26454,ausiliar de servicios,42
26455,administrativo servicios,12
26456,encargado calidad y ofici,31
26457,ingeniero de oficina tec,31
26458,encargado de casino,14
26459,bacha,91
26460,aux servicio camillero,32
26461,administrativo adquisione,33
26462,operaria textil,75
26463,operario administrativo,41
26464,diseñadora 3d,21
26465,ayudante del maestro,36
26466,maestro encerrador,73
26467,encargada utp basica,36
26468,service technisiam,35
26469,profesor de castellano,23
26470,cordinadora tecnica,24
26471,tec difeencial,31
26472,obrero operador,81
26473,encargada ed ambiental,21
26474,oprerario,93
26475,jefe depart seguridad,12
26476,soldador metalico,72
26477,jefa educativa,23
26478,auxuliar de servicio,41
26479,ama de llave,91
26480,soporte tti,25
26481,reponedor jr,52
26482,supervisora turno,12
26483,coordinadora ser tecnico,36
26484,terapista ocupacional,22
26485,educadora de trato diresv,23
26486,educadora sorda,23
26487,operaria de tienda cajera,42
26488,operador grua horquillas,81
26489,ascesora de compras,24
26490,e xpprt,24
26491,petizero,82
26492,operador de listeras,81
26493,programa de gestion,24
26494,asistente de prestaciones,34
26495,jefa de turno aux de aseo,91
26496,ejecutiva ventas entel,12
26497,campero 08:00,61
26498,profesora edgeneral basi,23
26499,reserch manager,24
26500,docente de teatro,23
26501,coordinar de patio,51
26502,jefe tesoreria,33
26503,maestro pu,23
26504,coordinadore gestion,24
26505,captador visual,21
26506,asiatente de aula,36
26507,ingeniera calidad,21
26508,asesora de proyecto,24
26509,asistente computacional,25
26510,logistica y operaciones,24
26511,auxililar de mantencion,41
26512,dn lider zona centro nort,11
26513,jefe de ordeño,61
26514,analista de transformacio,24
26515,andamios,71
26516,jefe de capacidades,11
26517,coordinadora tecnico,36
26518,jefe de adquisicion y lo,24
26519,agronomo sectorial,21
26520,gardia de seguridad,54
26521,wear report,no se proporciona información suficiente sobre la ocupación "wear report" para determinar su clasificación según la oit.
26522,asit de la educacion,36
26523,docente de macanica,36
26524,jefe molinero,73
26525,pigmentacion,32
26526,secretaria inspectoria ge,41
26527,creow,54
26528,asisten de adult mayor,53
26529,chofer camiones de carga,83
26530,tens at parvulo,23
26531,especialista de planifica,24
26532,jefa asesoria tecnica,11
26533,multi sevicio,41
26534,vendedor de patio,52
26535,armador de estructuras,71
26536,operador de mantencion la,81
26537,ayudante alba ñil,91
26538,shushero,51
26539,comis de cocina,94
26540,asistente de campo deport,34
26541,asistente de pies,53
26542,chofer agricola,83
26543,enc primeros auxilios,22
26544,profesional unidad regist,23
26545,volante de maticeria,72
26546,revicion de embase,81
26547,dep calidad de vida,no hay una ocupación específica llamada "dep calidad de vida" en la clasificación que proporcionaste. si te refieres a una ocupación en particular relacionada con la calidad de vida, por favor proporciona el nombre exacto de la ocupación para que pueda clasificarla adecuadamente.
26548,brigadista primeros auxil,32
26549,ayudante de packin,82
26550,garzo,32
26551,jornal de terminaciones,92
26552,primero auxilio,32
26553,asistete dental,32
26554,especialista de calidad,21
26555,trabajo general,96
26556,ayudante de andamios,91
26557,gafister,73
26558,coordinadora centros estu,23
26559,ofa oficial administrativ,41
26560,servicio de apoyo,44
26561,oficial primero,11
26562,aplicador en terreno,51
26563,tec en aire acondicionado,31
26564,ax de enfermeria,32
26565,descargar camion,83
26566,monitoreo de camaras,54
26567,directivo de utp,11
26568,asistente ejecutiva bilin,41
26569,asistente soldador,72
26570,alimentador de salmones,92
26571,ayudant de mantenc electr,32
26572,m1 ayudante,91
26573,ayudante sala maquina,82
26574,merchant,52
26575,operador de autoplanet,81
26576,pantallero,82
26577,atencion paciente,32
26578,asistente cuentas pagar,33
26579,asistente de viña,91
26580,operario produccion senio,75
26581,motorista de nave,83
26582,supervisor de cosecha,61
26583,inspectora de utp,36
26584,tecnico en inyeccion,31
26585,amarradora de plantas,61
26586,asistente sucursal,41
26587,pakicn,no puedo clasificar la ocupación "pakicn" ya que no parece ser un término reconocido o una ocupación clara en la información proporcionada. si puedes darme más contexto o corregir la ocupación, estaré encantado de ayudar.
26588,ejecucion letreros,73
26589,operaria de vivero,61
26590,auxiliar facilitador,34
26591,picking y apilador,82
26592,asistente trastiendad,41
26593,mecanico de ensamble,82
26594,ayudante de maestro carpi,36
26595,supervisora de practicas,36
26596,jefatura enfermeria,22
26597,tesorera integral,33
26598,encargada aseo industrial,91
26599,instructora de gastronomi,23
26600,asis ten te au la,51
26601,tecnico en mecanico,31
26602,desmontador de neumaticos,82
26603,consultor de proyectos,24
26604,encargado de bodega producto terminado,43
26605,entomologo de laboratorio,21
26606,varitas,96
26607,sales,52
26608,anfitriona de publico,42
26609,ayudante de cecinas,94
26610,tecnico en agronomia,31
26611,programador regional,25
26612,operador inmobilizador,83
26613,conductor de camiones y b,83
26614,vendedora de telefonos,52
26615,desconche,93
26616,extractora de embriones,22
26617,mastra cocina,94
26618,asistente ed parvulo,36
26619,subproductos,no hay una clasificación específica para "subproductos" en las ocupaciones de la oit. por favor, proporciona una ocupación concreta para que pueda clasificarla.
26620,tec odontologico,32
26621,tens de transporte,83
26622,ingeniero en prev riesgo,21
26623,secretaria rectoria,41
26624,tecnico apoyo profesional,34
26625,ayudante de stacker,82
26626,tecnico en educ parv,36
26627,ayudante de mecanico mant,72
26628,encargado de reserva adm,12
26629,cocinero partime,94
26630,operador planta tratamien,81
26631,encragado mantenimietno,71
26632,esp mecanica,31
26633,tecnico en cocina,94
26634,ejecutivo de telemarketin,12
26635,area salud,22
26636,ayudante de aluminio,73
26637,lider de proceso,13
26638,jefatura de prevension,11
26639,administrativo primera,41
26640,auxiliar cargador,91
26641,cuidado principal,53
26642,encargada regional de fin,11
26643,oficina de parte,41
26644,asistente juridica,34
26645,supervisor de gasfiter,31
26646,recargador fiscal,33
26647,op de maquina incadora,81
26648,asistente en la educacion,36
26649,despachador mina,93
26650,encargado de inventarios,43
26651,adm de seleccion,33
26652,tens cardiologia,22
26653,jefa sector,11
26654,educadoera de parvulos,23
26655,ejecutivo k terreno,11
26656,asistente de bordado,73
26657,mantencion tienda,44
26658,supervisor rrhh,24
26659,chofer apilador,83
26660,guardio,54
26661,operativa de monitoreo,81
26662,operara de limpieza,91
26663,porfesora de educacion fi,23
26664,operaria auxiliar,41
26665,cargador auxiliar,96
26666,terreno caldera,81
26667,sanitizadora de comedor,51
26668,tecnico aseadora,91
26669,administrativa urgencia,24
26670,atender,42
26671,operaria a cargo de patio,91
26672,ayudante de aprendiz,41
26673,peoneta de descarga,96
26674,operario conformados,71
26675,mantencion de obras menor,71
26676,auxiliar clinico de casin,32
26677,mantenedor y operador,81
26678,servicio de alimentacion,94
26679,asistente aua,32
26680,sup seguridad,54
26681,encargado bedega,43
26682,costurero tapices,73
26683,guia de excursion,51
26684,bodequera,92
26685,tecnio multifuncional,31
26686,enfermera de servicio,32
26687,supervisor de envasado,73
26688,encargado de movi animal,61
26689,profesora del cra,23
26690,capataz civil,73
26691,supervisor riego,33
26692,jefa de edicion,12
26693,teceducacion especial,23
26694,topografo trasador,21
26695,backap de proyecto,24
26696,coordinador archivos clin,34
26697,motoscierrista,62
26698,maestro desimbrador,72
26699,desbrozado de pasto,92
26700,ingeniero en trelecomunic,21
26701,asesora y venta,52
26702,salonera,53
26703,jornero,92
26704,recolector feria libre,96
26705,chofer guia,83
26706,maestro ectructura,23
26707,jefa de adquisicion,12
26708,multietnico,26
26709,operario nocturno carnice,75
26710,asist recursos humanos,33
26711,jefe tecnico refractario,31
26712,operador de rampas,81
26713,marcaderista,52
26714,monitora de huerto,61
26715,tornero mecanico m1,72
26716,administrador condominios,24
26717,cajera reponedor,42
26718,account manager clima,24
26719,enc biblioteca  docente,23
26720,tec medico lab clinico,32
26721,inspector de ascensor,31
26722,caamm,no puedo proporcionar una clasificación para "caamm" ya que no es una ocupación reconocida. si deseas clasificar una ocupación específica, por favor proporciona un nombre más claro.
26723,tecnico en sanitizado,32
26724,jardinera de areas verdes,61
26725,desbrozador y peoneta,63
26726,supervisor de auditoria,24
26727,operario de jardin,92
26728,tecnico telecomun,31
26729,vendedor autonomo,52
26730,maestra de area,23
26731,tecnico en tele comunicac,35
26732,carga y descarga de mercaderias,92
26733,auxiliar de ase9o,91
26734,gerente desarrollo,12
26735,jornal bodega,91
26736,encargadao de bodega,41
26737,ayudante en cocina,94
26738,armado y regulado de cula,no puedo clasificar la ocupación "armado y regulado de cula" ya que no se encuentra en la lista de ocupaciones proporcionadas. si tienes otra ocupación que deseas clasificar, por favor indícamela.
26739,repertorio,96
26740,medica ginecologa,22
26741,llanero,63
26742,encargada de paltos,61
26743,secrtetaria,41
26744,ayudantye taller,73
26745,maestro troquelador,72
26746,coordinador nacional,11
26747,delegada programa,41
26748,operador horno,81
26749,encarga de rrhh,24
26750,chef de estacion,94
26751,operador de maquina de si,81
26752,supervisor de programa so,24
26753,analista señior,24
26754,profesional de contabilid,33
26755,trabajadora publica,11
26756,tecnico encargada,34
26757,mantendor de jardin,63
26758,ayudante reparado,73
26759,vacofi,63
26760,arquillero,73
26761,encargado de equipos,81
26762,manupuladara de alimentos,75
26763,kinesiologo y operador,22
26764,enfermera en gestion de c,22
26765,supervisor despliegue,12
26766,vendedor de ceramica,52
26767,asistente social profesi,34
26768,asistente de exhibicion,42
26769,medico anestesista,22
26770,estafeta de pabellon,42
26771,garzona multi,52
26772,encargado herramientas,72
26773,reanimador samu,22
26774,e prevencion de riesgos,21
26775,conductor limpiador fos,83
26776,bodeguero despacho,43
26777,encargada programa area s,24
26778,auxiliar de enefermeria,32
26779,maquinaria pesada apilado,83
26780,revolvedor,93
26781,promotora prod electronic,25
26782,agente de seguro,24
26783,fierrista,72
26784,recolector de basuras dom,96
26785,supervisora cosecha,91
26786,operador arnero,81
26787,asistende a la educacion,36
26788,ayudante generador de pla,93
26789,analista oceonografia obv,21
26790,controller,24
26791,operador de carguio,83
26792,docente asistencial,23
26793,enc de finanzas y admini,33
26794,psicologa integracion,23
26795,corrales,63
26796,tecnico intalador de gps,31
26797,conductor camion tres cua,83
26798,tripulante gral de cubier,83
26799,carteros,42
26800,docente turismo aventura,23
26801,tec en ed de parvulo,36
26802,profesora de especialidad,23
26803,pionetaoperario,73
26804,tecnico eletromecanico,31
26805,dermo farma,21
26806,tecnico administracion,33
26807,encargado automotriz,72
26808,auditor pleno,33
26809,intructora de conduccion,83
26810,ingeniero constuctor,21
26811,operador mantencion mecan,81
26812,operador de resiclaje,96
26813,operaria ornato,91
26814,asistente de lineal,41
26815,operario lecheria,92
26816,mk1,no se encuentra en las clasificaciones proporcionadas.
26817,operaciones y ejecutivo,11
26818,directora de cultura,11
26819,secretaria ejec,41
26820,secretaria de servicios,41
26821,cocina caliente,94
26822,certificadora adm,33
26823,extrusador,72
26824,auxiliar de operador,81
26825,lavirante tecnico,32
26826,operador soporte tic,25
26827,encargado de enlaces,34
26828,steward senior,91
26829,supervisora operativa,13
26830,profesional de malla,23
26831,chofer camion y mecanico,83
26832,tens camillera,22
26833,bodeguero y pioneta,92
26834,vendedora administ,52
26835,colaborador multiservicio,51
26836,coord gestion docente,23
26837,coordinadora de alimentac,51
26838,mantencion habitacion,91
26839,ejecutivo de entrega,12
26840,maestro 1 andamio,71
26841,tec nivel super de enferm,32
26842,recepcionista en rampa,42
26843,teoperadora,81
26844,bodeguero mantencion,92
26845,sub contador,43
26846,aseadora industrial,91
26847,tutor de cargo directo,23
26848,bodega y produccion,13
26849,stewads,51
26850,tesorero administrativo,24
26851,supervisora de packing,14
26852,encargada de areas,23
26853,tecnnico,31
26854,fraguadora y selladora,75
26855,paleo y limpiza canales,92
26856,cortede poda,61
26857,gestora de cuentas,24
26858,ayudante cnc,72
26859,jefe planificacion,12
26860,proyecto fotografia,24
26861,pioneta pitonero,62
26862,inspeccion y mantencion,31
26863,lencera y mucama,91
26864,operaria administrativa,41
26865,tecnico laboratorio cliic,32
26866,trabajador agriocola,63
26867,tecnologo senil,32
26868,junior aseo y mantencion,91
26869,bodeguero  peoneta,92
26870,despapeladora,75
26871,sales avisor,52
26872,encargado de levantamient,33
26873,garzona de planta,42
26874,asist control calidad,31
26875,encargado de devoluciones,33
26876,gerente de compliance,12
26877,profesional secplan,24
26878,ejecutiva oper maritimas,21
26879,ayudane mecanico,72
26880,ingeniero en comunicacion,21
26881,guardi a de seguridad,54
26882,jarson,91
26883,operario control,81
26884,operaria de maquinaria industrial,81
26885,administrativo de com ex,12
26886,activadora,31
26887,encargada de inspeccion,34
26888,liquidacion,33
26889,ingeniero en telecominuca,21
26890,trabajdor agricoal,61
26891,alimento de pescado,63
26892,chofer produccion mina,83
26893,operador de informatico,25
26894,aux dieta,53
26895,asistente de licitaciones,33
26896,fisacalizadora,34
26897,maestro de agua potable,31
26898,preofesional a la gest pr,24
26899,supervisor de recepcion y,42
26900,tec en ed diferencial,36
26901,supervisor y operador,81
26902,encargado de aseo y lavad,91
26903,peoenta,96
26904,jefe de nivel de mineria,13
26905,arreglador de caballo,61
26906,admisionista urgencias,32
26907,ejecutiva de ventas canal,12
26908,00000,96
26909,ejecutivo terrenno,11
26910,administradora gral,12
26911,gestor deportivo,24
26912,auxikliar de aseo,91
26913,analista de opera financi,33
26914,andaniero,92
26915,odonto pasante urgencia,22
26916,tramitadora de aduana,34
26917,operario de pedidos,81
26918,auxiliar de servicios de,44
26919,brand manager,24
26920,entrevistadora en terreno,42
26921,vendedora garzona,52
26922,ayudante de producion,93
26923,ayudante talador,62
26924,inspector fiscal de diseñ,21
26925,administrativo electrici,13
26926,operadopr de excavadora,81
26927,reponedora de farmacia,51
26928,analista delictual,26
26929,seleccion en paqui,23
26930,operador inventario sod,41
26931,maestro soldadador,72
26932,ejecutiva integral de mov,11
26933,laminador certificado bon,72
26934,profesor de edc fisica,23
26935,conductor camion basura,83
26936,regador y labores varias,63
26937,apoyo de eventos,41
26938,espermeabilizador,75
26939,operario de clasificacion,71
26940,coordinador area gestion,24
26941,mantenimiento de clinica,41
26942,fotomontaje,73
26943,operador de estaconamient,81
26944,supervisor de roperia,14
26945,directora dejardin,23
26946,encargado de riego por go,61
26947,conductor de camion batea,83
26948,maestro 3b,23
26949,tecnico optico encarg lab,32
26950,pakin,96
26951,bodeguera farmacia,41
26952,asistente gestion de pers,33
26953,aplicador de liquido,72
26954,maquinario,72
26955,garzona bartender,52
26956,ingeniera proceso,21
26957,en area de limpieza,91
26958,encargada areas verdes,61
26959,terapeura ocupacional,22
26960,jefe unidad cobranza,33
26961,emabalaje,94
26962,operadora de ventas,52
26963,subdirectora de obras,13
26964,tecnico nivel uno,31
26965,auxiliar de barrido y lavado,91
26966,asistende deadler,42
26967,repocicion,92
26968,encargado de movilizacion,83
26969,maestro de taller de afil,73
26970,analista estrategia clien,24
26971,promotor de servicio en t,42
26972,inspector general basica,11
26973,operadora de distribucion,81
26974,re3postera,94
26975,tecnico de modeda,31
26976,vendedora apoyo,42
26977,coordinadora operacional,14
26978,lector de servicio de luz,43
26979,agente de servicios,42
26980,atendedor estacion de ser,43
26981,encargado de equipos medi,35
26982,auxilliar de farmacia,32
26983,conductor camion articulado,83
26984,atencion de pedidos,42
26985,conductor y operario tec,83
26986,reponeroda,52
26987,profesora de kinder,23
26988,supervisor de transportes,12
26989,encargo de recepcion,42
26990,enfeermera,32
26991,auxiliar de aseo y patio,91
26992,conductor grua horquila,83
26993,jefe de ing y pro,13
26994,guardia senior,54
26995,despuntador en linea 2,92
26996,asistente de practica,36
26997,enfermera apoyo clinica,32
26998,jefe tecnico fundos,21
26999,bibliotecaria asistente,34
27000,solador caledera,73
27001,ayudante de piso,91
27002,administrador de estadio,14
27003,op prevencion de perdidas,12
27004,oficial cuarto abogada,26
27005,chofer jornal,83
27006,caldero,72
27007,operador de materiales,81
27008,sepulturrero,51
27009,guarda de parque,54
27010,tecnico en auxiliar de pa,34
27011,tec inspector oficial,31
27012,inspectora secundaria,23
27013,encargado convenios,24
27014,recoleccion de basura dom,96
27015,instalador riego tec,71
27016,ing en prevencion,21
27017,tec mecanico senior,31
27018,tecnicop comunicador,25
27019,operario metales,72
27020,teasenia,22
27021,asistente de adquisicion,33
27022,ayudante fundicion,72
27023,aux produccion,43
27024,agente soporte tecnico,25
27025,cirujano comunal,22
27026,jefe finanzas y tesoreria,24
27027,asistente salas,51
27028,seleccionado de fruta,92
27029,maestra reposteria,75
27030,jefe d eoperaciones,13
27031,sector barra,31
27032,m1 maestro electrico,31
27033,ayudante barra,94
27034,entregas,92
27035,ectrovero,31
27036,tenco parvulos,23
27037,trbajadora social,34
27038,pakins,91
27039,ejecutivo agencia,11
27040,analista de importaciones,24
27041,asis conv escolar,36
27042,ingeniero en red,21
27043,profes administrativo,31
27044,jardinero y peoneta,63
27045,aux aseoi,91
27046,coordinadora de educacion,23
27047,red,25
27048,asesor al cliente,42
27049,crew food,94
27050,educacora,23
27051,apoyo fijo,44
27052,qf asesor de registro,34
27053,jefe de gestion y reporte,24
27054,tec trabajo social del pr,34
27055,proyec manager,24
27056,pradocente,23
27057,operario fiambreria,75
27058,enc vida familiar,91
27059,montador de cintas,82
27060,fonoudiloga,22
27061,lider de facturacion,12
27062,enfermera encargada,32
27063,activadora de marcas,24
27064,ayudante de tripulacion,83
27065,psicologia convivencia es,23
27066,ayudante de produciion,93
27067,kam de lavanderia,51
27068,abogada regional de conaf,26
27069,gerente administrativo,12
27070,asistente de apoyo,44
27071,inspector fiscalizacion,34
27072,maestra soldadora,72
27073,riego paltos,61
27074,ayudante de mecanicio,72
27075,tecnocolo medico,32
27076,maestro armado,72
27077,ejec multiskin,no puedo clasificar "ejec multiskin" ya que no parece ser una ocupación reconocida o no está en las clasificaciones proporcionadas. por favor, proporciona una ocupación válida para clasificar.
27078,jefe recurso humano,12
27079,tecnico operaciones plant,31
27080,trabajadora agrcola,63
27081,ayudante metalico,72
27082,camarofrago,53
27083,uxiliar de aseo,91
27084,operaria d paking,82
27085,supervisor de refigeracio,12
27086,asesor en prevencion,24
27087,asiastente de educ especi,36
27088,operador de bufett,94
27089,crianza engorda,61
27090,op de torre de obser,81
27091,dirigenta nacional sindic,11
27092,asistente de anestesia,32
27093,asistennte de la educacio,36
27094,artista saway,73
27095,despachador camiones,83
27096,op apoyo navidad,41
27097,torrero,53
27098,ingeniero de compras,24
27099,op aeroportuario,61
27100,limpieza de area,91
27101,merchandise,52
27102,aseo en el jardin,91
27103,operador distribuidor,81
27104,m2 andamiero,71
27105,prevension de perdida,54
27106,encargada de oficina tec,31
27107,conductor de camionews,83
27108,dimencionador,31
27109,operador base,81
27110,promotora junior,42
27111,ayudante electrico md2,72
27112,operativo prevencion,83
27113,social manager,12
27114,operdaor mina,93
27115,maestro fibrero,73
27116,operador peresibles,81
27117,mantenimiento de maquinas,31
27118,tec hidraulico,31
27119,mucana,53
27120,auxiliar cementerio,91
27121,auxiliar multiuso,44
27122,varista y mesera,52
27123,controlador de inventario,33
27124,encarg de higiene y calid,34
27125,tec de licencia de conduc,83
27126,camarero de frigorifico,94
27127,stiwartt,no puedo clasificar la ocupación "stiwartt" ya que no proporcionaste información suficiente o clara sobre la misma. si puedes clarificar o proporcionar más contexto sobre qué tipo de ocupación es, estaré encantado de ayudarte.
27128,merchandiser,52
27129,sell advisor,52
27130,auxiliar de sedeli,91
27131,encargada facturacion,33
27132,maerstro enfierrador,71
27133,encargado de la planta,13
27134,territorial,no se proporciona una ocupación específica denominada "territorial" en la clasificación que has compartido. si puedes ofrecer más detalles o un contexto más claro sobre la ocupación a la que te refieres, podría ayudar a identificar la clasificación más adecuada.
27135,jefa departamento tecnico,13
27136,encargada de incuvacion,61
27137,operador sala maquina,81
27138,ed trato director,42
27139,mestro mayor,23
27140,estafeta aux de aseo,91
27141,cajera y manipuladora de,52
27142,tec secado,31
27143,auxiliar de drogueria,32
27144,casetera,91
27145,cajera responsable,42
27146,ito electrico,31
27147,operador de bedega,81
27148,subtesorero,33
27149,minero mantenedor,93
27150,prevesnionista de riesgo,32
27151,mecanico de camion,72
27152,asist juridico,34
27153,maquinista linea 1,83
27154,jefe de ayudantes,44
27155,mencargado de mantencion,91
27156,tecnico en endoscopia,32
27157,tco en mantencion,31
27158,coordinadora de abastecim,24
27159,tec esterelizacion,32
27160,operador de tracto camion,83
27161,eepp cartero,42
27162,m1oocc,lo siento, no puedo proporcionar una clasificación para "m1oocc" ya que no corresponde a una ocupación reconocida en la clasificación de la oit. por favor, proporciona una ocupación válida para su clasificación.
27163,estrodero,75
27164,preparacion de masa,75
27165,tecnico sup en odontolog,32
27166,atencion a estudiantes,36
27167,operador de maquina y ayu,81
27168,lavador y chofer,83
27169,operario de peq,71
27170,comunicador audivisual,26
27171,operador impresora,82
27172,radiofrecuencia,31
27173,profesores formacion prof,23
27174,auxiliar de aseo y trasla,91
27175,vigilante de banco,54
27176,tarjador de comercial,42
27177,cuidor,53
27178,aseadora fina,91
27179,tens imagen,no hay suficiente información sobre la ocupación "tens imagen". si se refiere a un término más específico dentro del ámbito profesional, por favor proporcione más detalles o corríjame si es un error tipográfico.
27180,auxiliar de serv estafa,41
27181,operador de ramplas,81
27182,asesor atencion al client,42
27183,ayudante de enchapador,72
27184,co  teacher,23
27185,paramedico conductor moto,53
27186,espec en limpieza,91
27187,aspirado y limpieza vehic,91
27188,lider mecanico perforador,72
27189,ayudante galponero,92
27190,maestro primera pipping,31
27191,inspector de seguridad p,54
27192,lector medidor luz,42
27193,prevision perdidas,34
27194,administradora recepcioni,41
27195,bodeguero operacional,83
27196,encargado de tpm,31
27197,monitor de higiene,51
27198,ayudante mecanico manteni,72
27199,administrativo de siniest,33
27200,docente religion,23
27201,tecnico asistencia,36
27202,jefe procesos y servicios,12
27203,orientadora educcional,23
27204,lider de cocina,14
27205,asist operativobodeguer,41
27206,administradora del local,12
27207,operador de estacion mete,81
27208,operaria de piscicultura,62
27209,corte fuego,92
27210,tarjador comercial,42
27211,atendion trato directo,42
27212,peoneta ayudante,91
27213,operaciones embarcador,33
27214,subjefa de sucursal,12
27215,junior aux de tienda,42
27216,ejecutivo de cash managen,12
27217,supervisor cajas,42
27218,serv atc cliente,42
27219,conductor y ayudante sold,83
27220,asistencia adulto mayor,51
27221,inspector senior,34
27222,chofer despachado cobra,83
27223,operario mantencio,81
27224,ejecutiva cobraza,11
27225,control de camaras de cir,32
27226,administracion de parking,12
27227,enc de procesos,31
27228,ventas y marketing,24
27229,encargado de moldeo,72
27230,lector de medidor en terr,81
27231,maestra albaliñeria,71
27232,mecnico revisador,72
27233,operario toa,73
27234,asistent de administracio,33
27235,operria higuiene,91
27236,bodeguera electrico,72
27237,encargado maquina cnc,72
27238,operador de grua h,81
27239,operario club,93
27240,mecanico de mantension ae,72
27241,vendedor de piso reponedo,52
27242,asistebte calidad,34
27243,coordinador programa inte,24
27244,profesional estadistica,21
27245,granallador y pintor,72
27246,jefe servicio preventivos,11
27247,director de salud,12
27248,encagada de micro empresa,24
27249,chofer y apoyo a bodega,83
27250,operario de rifter,81
27251,manipulador algs,91
27252,ayudante de aplicador,32
27253,diseño,21
27254,bodeguero y adquisicion,43
27255,auxiliar vigilante,54
27256,tens de traslado,83
